"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,183900,189000,189990,197900,199900,199900,199900,199900,199900,199900,199000,198000,194990,199900,204900,211000,216990,219000,219000,218990,216900,215000,211600,206850,209976,215000,219900,225000,229900,230000,229900,229900,229900,229900,229500,226900,225000,227950,234900,239900,241500,244990,244900,239990,240000,239900,239900,237000,235000,239900,249000,253900,259900,259900,259900,259000,259000
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,375000,379999,389000,389900,399000,394990,389000,385000,385500,385000,385000,380000,379990,389000,395000,399000,4e+05,407000,399999,399900,399900,399900,399000,399000,396000,399000,399888,409000,4e+05,410000,419900,415000,409900,410000,4e+05,399900,399900,399999,415000,425000,429000,429000,429000,424981,425000,420000,419000,410000,419000,422000,429000,438700.5,449000,449000,449000,439000,440000
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569900,568000,549000,559000,575000,599000,610000,620000,625000,619000,615000,599900,599000,559675,584650,599999,625000,648500,675000,679000,675000,675000,674900,669900,668500,659500,659091.5,679000,699000,699000,699950,714000,710000,699999.5,699900,699990,699900,699000,699000,699900,723500,739900,749000,739000,739000,735000,734592
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199900,197500,205500,219900,225900,234900,239000,235990,234900,229900,227990,224000,214900,210000,220000,234900,239000,248000,249900,248900,245000,240000,239900,239000,229900,229895,239000,249900,258500,260000,265000,259999,257500,254999,250000,249900,244900,244000,254900,265000,274000,275000,278235,275000,269900,269900
"Dallas, TX",4,164910.5,165000,166000,168000,167500,168000,164900,165925,179900,174900,168000,160000,159900,159900,164900,167990,169990,170000,169900,169900,164900,162990,159000,154900,155725,159000,158155.5,159900,160000,165000,162500,159900,156705,159900,185000,187000,185000,189900,199000,202990,209000,210000,209900,208000,206990,207900,201500,208000,205000,209990,218900,224975,229900,225000,225000,230000,230000,234925,230000,242990,249000,255000,269000,269900,264500,260361.5,258894,259000,259900,265000,269000,275000,275000,270890,282500,285000,289900,289900,289000,289000,290000,299900,295990,296900,299900,302557.5,313329,319900,322510.5,322439,319900,317990,319900
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199900,2e+05,209900,215000,224900,225000,219900,214900,214900,214500,209900,214000,2e+05,209000,218995,225000,229900,229900,225000,223000,224900,219900,215000,205500,204900,214900,220000,229000,234900,230000,227000,224900,225000,219900,219900,210000,209000,209900,219900,225000,229900,230000,229000,224900,224900,224900,219500,205900,204900,209900,224900,234900,239900,239900,239500,234000,235000
"Houston, TX",6,159900,162900,164900,164900,164000,163990,159950,160921,175000,173990,174000,169900,169700,169900,169944.5,169900,172000,172650,169990,169900,164900,164500,159000,159900,160000,162500,165000,169000,169000,169500,168900,168950,168000,169110.5,180000,185450,187000,196404.5,199900,205000,209900,214478.5,214000,213990,215000,221981,216990,219000,219670,227020,232500,241500,245000,247000,248946,250000,255000,259000,260000,274990,281900,286990,291565,299000,289990,284064,294900,298100,297990,299900,299900,307900,306990,294000,299000,298410,295779.5,298000,295000,290000,289900,290000,285000,284900,285000,289900,294000,298000,298990,298000,294745,294400,295000
"Washington, DC",7,289900,296000,299900,305000,299900,299000,299000,289900,309995,310000,3e+05,290000,280000,289000,299900,3e+05,319900,325000,319900,319000,314990,309900,299000,294900,299000,299900,310000,329500,340000,348500,339900,331990,329900,334900,359990,350000,350000,365000,375000,389900,399900,399999,399000,389999,394990,389990,385000,384900,379000,385000,399900,409900,419900,419000,415000,406200,405000,4e+05,399900,394990,389900,395000,406900,419750,424900,419990,399950,408300,410000,409000,399999,399900,399990,4e+05,417500,434900,439000,438000,430000,425000,425000,425000,424987,419000,415000,424990,439900,450000,450000,450000,449900,439999,440000
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295000,295000,295000,299000,297000,299000,299900,305000,299999.5,299900,299999,299900,3e+05,3e+05,3e+05,319900,327350,325000,305000,315000,329000,329000,329900,330000,340000,342714,349500,350000,350000,364900,365000,367500,368000,369000,374700,375000,375000,375000,375000,379000,379999,389000,395000,398500,399000,395000,399000
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198900,189900,184000,190000,2e+05,210000,215000,220000,220000,217900,214900,209900,204700,198000,2e+05,209900,210000,214900,220000,224900,223232,225000,224900,224900,221900,222906,224900,224900,229900,237500,241900,245000,244900,239900,239900,240000,239900,236900,235500,239900,250000,262000,265000,269000,268655,265000,267000
"Boston, MA",10,309000,329900,329000,329900,329900,329900,329000,324900,332900,330000,329900,319900,319900,329000,339000,349000,359000,354900,349000,339900,339000,325000,299993.5,290000,295000,299000,309900,325000,329900,329900,324900,318900,318900,319900,359900,349900,349900,359900,374500,389000,397000,399900,395000,379900,385000,389900,384900,379900,377250,399000,4e+05,419000,420000,424000,414250,399999,401900,409900,399900,399900,399000,399900,404700,420000,429900,429900,425000,419000,424900,424917,419900,414900,410000,429000,449900,465000,469900,469000,459900,449900,449900,459500,459000,450000,449999.5,469900,495000,499900,499900,499900,494250,484900,489900
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,598000,629000,649000,670000,695000,695000,679000,659000,658000,650000,625000,588000,599000,649000,689000,699888,729000,738000,720000,699000,699000,699998.5,699000,689000,675000,724990,755000,789000,791940,788800,759975,749000,750000,758888,742880,710000,725000,759950,798880,799900,804359,799000,769925,750000,769000
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,119900,115000,119000,127500,139900,149900,155000,159000,159000,152500,149900,137900,125941,131900,140000,149900,154900,159899,164900,164900,160000,159900,155000,150000,145000,142900,142000,150000,162500,174900,177500,179500,174900,170000,169999,169000,165000,159900,165000,175000,189900,199900,199900,199900,199500,199000
"Riverside, CA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,295000,295000,295928.5,299900,308177,313655,315000,310000,310000,309900,305000,299999,299900,310000,319000,320000,324900,329000,330000,330000,329500,329990,335000,339000,339000,339900,340000,345000,349000,349825,349900,349960,349000,345000,345900,349000,349500,349900,350000,355476,359900,364900,360000,360000,359900,364900
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,234992.5,234999,239000,244900,247945,249900,249900,248000,248000,249000,249900,246000,243000,250000,259500,265000,272990,275000,274500,267900,274000,274476.5,275000,279000,276990,279500,279950,282700,285000,285519.5,287000,284500,279900,280000,280000,279900,280000,283000,288000,289900,294900,295000,290000,290000,289900,290000
"Seattle, WA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334950,333450,324900,329900,339950,349950,349990,369500,369500,365000,365000,359950,339000,309950,325000,345000,359950,370000,381000,389000,384000,384950,384950,379950,375000,368990,369000,369950,387500,399990,412930,419000,415000,404900,409000,409950,404950,399888,398947.5,409950,434950,449000,459000,463995,460000,454900,459950
"Minneapolis, MN",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,219900,214900,225000,234900,235000,244910.5,249900,249900,249900,249900,248900,249000,245000,249900,254900,259900,259900,264900,265000,269900,269500,269900,269900,269995,270000,275000,274900,279900,275000,275000,275000,274900,269900,274900,275000,279900,289900,295000,3e+05,299900,299900,299990,299950,299900,299900,299900
"San Diego, CA",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,520000,525000,529950,539000,549900,533000,549900,559000,550000,549900,549000,539950,529900,539000,549900,585000,599900,625000,599000,635000,635000,639000,635000,635000,639991.5,635000,636977.5,639900,649000,649000,649000,649000,649000,640000,639900,629000,629900,645990,649000,659000,675000,685000,675000,679000,679900,679000
"Saint Louis, MO",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,154700,155000,156000,154900,149900,149900,149900,145000,144900,142900,147625,149900,154900,159900,159900,159000,157000,155000,153000,149900,146550,147500,149900,152500,157500,159900,159900,159900,155900,155000,151400,150000,149500,148000,149900,158900,167500,169500,168000,165000,164000,163500,160000,159900,156900,154495,157900,165000,174900,180000,185000,185000,182500,180000
"Tampa, FL",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,175000,179900,180000,185000,184513,179000,189900,189990,189900,189900,189000,180000,189900,198000,195000,194900,199000,199900,202422.5,215790,219000,219900,221990,219000,219900,219000,224000,227400,225000,225000,226645,225000,225000,228000,228858.5,227880,234900,239900,242900,249000,250000,250000,250000,249900,255000
"Baltimore, MD",20,243799,247500,248000,249900,249900,249000,240000,234900,239900,237900,235000,225000,222500,222000,229900,237500,245000,249000,245990,244472,240000,239900,233892.5,229500,229000,229999,237000,239157.5,228500,249900,249900,249900,240000,239900,249900,245000,244900,249000,250495,260495,274900,279000,276266,274900,274999.5,274900,259900,264000,254800,259900,269500,279900,285000,285000,283000,279900,279900,269900,264000,250000,249900,256500,259999,269677.5,274900,272000,265900,265945,269000,259900,254900,249900,249900,249900,260000,279000,284900,285000,280000,275000,275000,274900,270000,262700,259863.5,266990,284900,299900,3e+05,299990,299900,299000,299000
"Denver, CO",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320597,325000,329900,340000,349900,358000,360000,365000,365000,365000,371990,375000,375000,390000,399495,399900,4e+05,412495,410000,410000,409950,405000,410000,410000,410950,419880,427950,430000,436015,439000,439000,435000,430000,429900,429853,425000,425000,425000,429625,442245,450000,459000,450000,450000,455000,454999,455000
"Pittsburgh, PA",22,119900,129000,129900,129900,129900,129900,129900,129900,132900,129900,129900,127000,124900,127900,129900,129900,129900,129900,129900,129900,129900,127500,127000,125000,122000,124500,124900,125795,129900,129900,124900,120900,119900,119810.5,134900,132499.5,134900,139900,142000,147000,149000,149000,145700,144900,144900,139900,138000,139900,139900,139900,143455,149900,154990,154900,149900,149900,147500,154950,145000,139900,145000,149000,149900,155000,159900,160000,159900,155000,155000,154900,150000,149900,149900,141900,149900,150000,158200,159900,157000,154500,154472,150000,149900,149500,146900,149000,150000,159900,165000,167500,167900,165000,165000
"Portland, OR",23,249000,243900,242900,239950,235000,239000,239000,238000,242500,221645,210000,2e+05,197000,199900,210000,2e+05,201950,207900,210000,214900,214000,204900,199500,189950,197500,199900,209900,215000,214500,217000,220000,230000,235000,244900,255000,259000,259000,261900,269900,279500,289000,295000,299000,295000,293000,292225,289800,285000,285000,289950,299000,299900,299900,309950,314900,314000,305000,299950,299900,299000,3e+05,314900,319900,325000,329000,330000,334900,335000,339000,339900,339900,339000,339900,340000,349900,359960,367900,373587,375000,375000,379000,379500,379900,383000,389900,398000,399995,410000,419000,423000,421900,419900,419900
"Charlotte, NC",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174900,175000,184900,189000,194900,198470,199000,198900,199000,199000,199900,195000,195000,190000,194900,207490,210000,218770,220000,220000,219900,218500,214900,219000,215000,219900,225000,225000,233500,239900,241925,245000,241490,237990,245000,245990,239900,251700,258000,267500,268500,270000,275000,279000,270053,270500,271000,269900,275000,269000,269990,275000,289000,289900,289900,285900,284900,289000
"Sacramento, CA",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323466,329990,335000,349000,359000,360000,369990,374990,375000,369900,369900,359950,350000,304800,359000,369900,377500,384000,388888,389000,389000,389000,385000,389900,389900,389990,395000,399000,4e+05,410000,415000,415000,415000,410000,409000,404990,4e+05,399950,405000,415945,429250,435000,429900,429000,425000,425000,425000
"San Antonio, TX",26,162000,164900,164900,165000,165000,169000,166900,165000,169900,169900,162800,159900,159937.5,159900,162769.5,165000,169000,169900,169000,166000,159997,159900,155000,154000,155000,155000,157900,158900,159900,164900,162500,163995,164000,165995,179900,179900,181990,188900,191575,195000,197500,2e+05,2e+05,2e+05,204249.5,209900,207795,212000,212500,219900,222990,226000,234790,229000,229000,236996.5,233400,229900,229500,239900,242970,247544,245000,249999.5,250992.5,255990,259999,259990,261653,258990,259475,260990,260995,250990,257787.5,259490,259000,259890,259900,259000,253900,259995,259000,252875,254990,259900,269500,273908.5,272240.5,275000,275000,274995,275000
"Orlando, FL",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213986,215000,210310,219000,222990,220000,217000,210932.5,228340,229000,229000,225945,225000,225000,225000,229900,229900,229900,232900,238900,239900,250995,254000,255000,257495,255000,257390,257170,262900,267500,259900,259900,264500,259900,263900,260000,259900,260490,270000,274900,278000,285490,289900,289400,289900,289965,295000
"Cincinnati, OH",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141850,143300,143947.5,149900,149900,150450,150000,154900,150000,149900,150000,149900,147900,149900,150000,155500,165000,169900,179900,178500,174900,177945,174900,172000,169900,174000,175100,178000,179900,185000,184900,181785,179900,189300,183000,180000,178000,180000,178000,175000,185000,189900,189900,194000,187500,187500,184990,182997.5,179900,179900,184000,190000,199900,208405,210000,205000,209900,204900
"Cleveland, OH",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,124900,125000,129900,134900,138900,139900,141000,139900,139900,135000,134800,129900,124999,129900,134900,139900,139900,139900,139900,139900,139000,136600,134900,134000,129900,129900,134900,139900,145250,149900,149900,149900,145000,144900,140000,139900,137500,138000,139900,147900,150000,159900,164500,163000,159900,160000
"Kansas City, MO",30,149900,150000,154950,154900,150000,150000,149900,149900,151000,149950,146900,141900,137000,139000,141400,145000,149900,149900,149000,145000,142900,139900,133000,129500,129800,129900,134900,136900,134500,127950,122000,119000,115000,115000,134500,129963,129900,135000,140000,148500,149900,150000,149900,148500,145000,142650,139500,136000,134000,135000,144990,150000,155000,159000,156000,154950,152000,150000,149900,145000,145000,149999,169900,174950,175000,175000,174999,170000,170000,170000,170000,165000,169900,175000,185000,195000,199900,199900,199000,195000,192000,194900,194900,190000,190000,199950,215000,224900,225000,228500,225000,224900,225000
"Las Vegas, NV",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,194900,190000,194000,198500,199990,204000,209900,213000,217000,219900,219992.5,219000,219500,219900,224900,226000,229990,235000,235000,238000,239900,239950,240000,240000,239999,240000,237445,244900,249900,250000,254900,255000,259000,259900,259999,264500,265000,267200,269900,273894,276000,279900,285000,289899,289999,295000
"Columbus, OH",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142000,147000,151900,158500,159900,159500,158900,158900,159000,154900,152500,149900,153000,162500,165900,172260,177300,176900,175000,174900,173000,169900,167000,169800,174500,179500,184900,193900,196886,197900,194900,194900,189900,189900,184900,188900,190840,195000,205000,209900,210000,210000,205000,204900,199900,199900,197999.5,198900,2e+05,223000,229900,236333,236000,236900,237990,234990
"Indianapolis, IN",33,129900,129900,130999,130590,130000,131500,130000,129900,135000,135000,134900,129900,129900,132900,134900,135000,137990,139900,139900,136925,134900,135000,129900,125000,129500,129900,129900,132900,134899,134900,134900,132500,129900,129900,134900,134900,134900,139175,142500,147450,149900,149972,149900,148400,148000,149100,145000,142500,140000,146232.5,154900,159000,161500,165900,164900,161990,159900,159900,159000,154900,155000,158270,159900,162850,169500,169900,167200,163000,166650,160000,161500,156000,159900,156500,159000,160000,168900,169900,170000,169900,169900,169900,165000,164900,164900,165000,175000,189900,199900,199900,2e+05,2e+05,205000
"San Jose, CA",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719000,7e+05,709475,749000,789999,799000,799925,799000,790000,783000,783950,780000,749000,715000,739000,799000,829950,875000,898000,899000,899000,888888,888000,885000,875000,850000,864950,899888,958000,956450,950000,949900,950000,939000,948000,928880,899950,879000,861400,899999,975000,988888,998000,975000,975000,990000,995000
"Austin, TX",35,209900,209019,208325,209900,209950,210000,207000,209500,218999,215000,215000,209000,199900,199900,204900,209900,211000,206990,205990,199900,193500,189900,189900,185000,185983.5,187500,194875,198990,198900,2e+05,199900,199000,195000,198825.5,224750,225500,229000,239000,239999.5,245000,248950,249997,250000,249900,251850,259900,260000,262990,268344,275000,279970,294900,299900,3e+05,298996,299992.5,299395.5,296990,289830,3e+05,303645,315000,319900,324900,325000,329900,325990,329407,328990,335000,332990,342990,338500,329000,335000,331579,334587,339995,337500,335000,330000,338490,331081,327995,325995,332208,339900,348990,349550,349009,346500,342000,339000
"Virginia Beach, VA",36,240000,239900,239900,239000,235000,234500,230000,229900,230000,225000,220000,215000,212500,215000,215000,215000,219900,220000,219900,219900,219000,215000,209900,2e+05,2e+05,209000,210000,210000,214900,212000,209900,205900,199000,2e+05,219997.5,224900,224900,225000,229000,242000,235900,238000,239900,234900,238900,234900,229900,229900,229945,234900,240000,249262,249900,249900,249900,247900,242900,239900,238500,235000,239000,246900,249000,249900,249900,253550,249900,249900,249900,248000,245000,245000,249900,249900,249990,254900,259000,256325,257900,255000,253900,250000,249900,249500,249900,250000,255000,265000,268900,269500,269500,265000,265000
"Nashville, TN",37,179800,179900,175900,174900,174900,173000,171000,172000,180000,179900,177700,170000,168900,164900,168900,169900,174900,174000,169961,169900,165650,164000,159900,155990,155000,157900,158900,164900,164900,162900,162000,159900,159900,164900,188900,185000,185215,194500,195000,199900,209000,209900,210900,209900,214900,215900,209900,215000,214900,218900,226900,229922,238995,235990,235000,234900,235000,239900,239900,245000,249900,259000,269900,273990,269900,273950,269900,269900,279900,279000,284900,285950,294999,291990,290000,299700,304990,307182.5,299999,299995,299998,301318,307900,305800,299900,309500,320189.5,335000,339990,339900,335000,334900,334000
"Providence, RI",38,275000,279000,272500,274000,273000,269900,269900,269900,274900,269000,259900,254900,249900,249900,249900,248800,249000,249000,244900,244900,239900,239000,229900,224900,225200,224900,229800,235000,239900,241950,239900,239900,244000,244850,249900,249000,248700,249900,249900,260000,265000,269900,269900,269000,269900,269000,259900,259900,259900,265450,267500,274900,279000,279000,279900,275000,274800,269900,268000,260000,259900,265000,265000,278900,279900,287700,289900,289000,284000,279999,279900,279000,277500,278750,280000,289900,295000,299000,299000,294900,289900,289900,289000,279900,279900,285000,299000,309900,319000,319900,319000,315000,313700
"Milwaukee, WI",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184900,179900,171500,174900,182500,190900,199900,209000,206900,205000,2e+05,199000,189900,185000,184900,189900,195000,2e+05,219900,219900,219900,215000,215000,210000,205950,199900,199900,199000,209500,219900,224900,229900,247811,242700,239900,239000,229900,229000,224900,232500,230000,229900,239000,244900,234900,229900,225000
"Jacksonville, FL",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194990,195950,194990,199900,202900,209990,215000,215000,214990,215250,215000,211997.5,209990,206990,209990,214900,215000,219990,222950,225000,224990,228000,229900,225000,227000,226500,229900,229000,237999.5,242990,245000,247900,239900,237900,234900,234900,230990,229900,234900,239990,249500,255000,259900,259900,259900,258000,261990
"Memphis, TN",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147000,145000,145000,139900,142500,149000,147900,149900,149900,149900,147650,142900,130000,131000,135250,139000,143000,146000,154900,157500,159000,149900,147900,147500,144900,139900,139900,137500,139886,149900,154900,158500,164900,161000,159500,159900,155000,149900,143900,145000,151900,159900,165200,169900,174900,172350,175000
"Oklahoma City, OK",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154900,155000,158000,156898,159900,159900,162969.5,163950,162500,164900,165240,169000,169900,169900,170002.5,169990,175000,176900,175000,175000,176995,174900,172500,175000,173800,182500,184494,185000,191500,195382,197000,197815,197050,196990,196999,199000,199900,199900,199900,199296,199900,199900,199900,199900,199900,199900,198500,199900,207500,206500,206253,204000,208000,209900,209000,210000,206134,213413.5
"Louisville, KY",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142500,143900,140000,145000,149900,154900,160000,161000,159900,159900,159900,160000,159900,159900,159000,165000,167000,171000,178250,175000,175000,174975,174975,174500,172900,169900,168000,165500,170000,179999,184900,186700,185000,182000,180950,179900,179900,177000,174900,179999.5,189900,2e+05,205000,2e+05,205000,202990,2e+05
"Hartford, CT",44,229900,259900,262000,262000,264900,262500,263000,259900,269000,265000,259900,255450,252500,259900,264500,267500,269900,269900,264000,259900,250000,249900,249900,249850,249000,249900,254900,255000,259900,259900,256000,250000,250000,249900,249900,249900,249900,249900,255000,262500,265000,264900,259900,255000,254900,250000,249900,249900,249500,249900,253150,259900,265000,269000,265000,259900,259900,259000,254900,249900,249925,252000,259000,260000,269000,269900,269900,264900,267200,264900,259900,254900,254900,259000,260000,269900,269900,269900,269500,267500,264900,259900,259900,249900,249900,259900,265000,272500,279900,279900,279000,272900,274900
"Richmond, VA",45,219000,215000,214950,214000,215000,214950,209976.5,208975,209900,2e+05,199950,194500,189900,187000,194900,192930,198500,195000,194000,192900,189900,184950,179900,170000,169950,169950,175000,175000,179000,179900,179000,175000,174950,179990,199000,198000,199000,199900,2e+05,210000,215000,219900,215000,215000,214900,210000,199950,199950,2e+05,209900,213500,219950,220990,225000,225000,224950,224500,220000,220000,214950,219900,224950,229000,238000,239900,242205,239950,240000,244900,243245,240000,249500,249900,240000,251525,262000,265000,265000,260670,259900,264950,259900,259950,265330,265280,272500,277950,285000,292000,292855,289950,289950,291950
"New Orleans, LA",46,179900,179000,179000,175000,175000,174000,170000,170000,174900,169000,169900,167000,159500,158000,162900,165000,169000,159900,159000,158000,149999,139375,139900,138750,139800,139900,139900,139900,139000,139900,139900,139000,145000,149000,171950,172000,169900,174900,178500,184900,184000,184900,179900,178700,177850,175000,174900,175000,170000,172500,174900,179700,184900,185000,183000,184999,180716,180000,180000,179900,184000,185610,189500,189999.5,195450,198900,198000,198000,195500,192600,195000,198750,197100,199900,209900,220000,224900,229000,225000,223500,225000,229000,227750,229000,229000,217700,219900,229000,235900,239500,239000,235000,235000
"Buffalo, NY",47,129900,129900,134900,130000,133900,131150,129900,129900,130000,129900,129900,129900,129900,129900,129900,129900,130000,134900,134900,134900,134900,135000,135000,124900,138000,135000,139000,141900,144900,139900,138900,139900,135000,131949.5,143900,140000,139900,140000,139900,145000,144900,145000,144900,140000,142000,139900,135700,134900,132900,138000,139900,139999,145000,149900,149900,147250,145000,144900,139900,135000,139900,140000,144900,149000,149900,149937,149900,149900,149900,145900,144500,139900,139900,139900,139900,145000,150000,154900,149900,149900,149900,145000,144900,144900,144900,144900,149900,155000,159900,159900,159900,159900,159900
"Raleigh, NC",48,217605,217900,214900,214900,215000,212900,209900,209900,215000,209900,208913.5,205000,199900,197949.5,195900,199900,2e+05,207900,207500,2e+05,199900,196000,187900,184900,199900,2e+05,207900,2e+05,199999,199900,199000,199500,195999.5,199000,214900,214300,215000,219900,225000,229900,234279,239327,236900,235000,236047,239900,234900,235990,239541.5,240000,244900,240451,245000,246900,245000,246900,248990,249700,249900,247500,249000,250000,255000,260945,269900,274900,274900,275000,270000,274900,275000,272900,275000,276990,279900,284500,285000,281990,285000,289900,289900,289900,289990,294900,289900,299700,3e+05,310000,318758,315000,314900,315000,319000
"Birmingham, AL",49,159900,164900,159900,162500,160000,159925,159900,159900,164900,159900,154000,149900,144900,147000,149900,154900,159500,158625,157000,150000,149900,149900,144900,142000,144900,144900,144900,129995,134900,149000,146950,146500,139900,144000,154000,154900,154945,159900,162900,168242,169900,171900,170165,169900,168700,165125,159900,164949.5,164500,169900,174900,179900,179900,180550,180000,179900,179000,175000,177250,168900,171450,174950,179900,184000,185250,184900,179900,179000,179900,174900,173900,175000,174900,174000,179900,189000,189900,189900,189900,189250,185000,184900,185000,184900,184900,189900,199900,209900,209900,209900,204900,2e+05,205500
"Salt Lake City, UT",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265000,265000,265000,262000,258900,258900,264900,274900,279900,279900,279900,279900,279900,279900,269900,267450,279000,285000,289900,299900,309450,314900,319000,319900,314900,314900,310000,309900,311990,315700,327900,329900,345000,349900,349900,344900,337500,334900,335000,335000,329900,339000,347900,354900,355900,360000,355000,357192.5,354900
"Rochester, NY",51,123000,124900,125000,124900,124600,119900,114900,114900,117900,116900,114900,109900,107900,119900,124900,124900,129900,129900,126900,114900,112900,109900,99995,98950,102900,109900,119900,124900,127900,129900,125000,124900,126250,119900,139900,139900,134900,139900,139900,147900,144900,144900,139900,139900,139900,139900,139900,139500,136500,134900,139600,143950,144900,145000,144900,139900,139900,139900,138950,129900,129900,130000,134900,134900,139900,139900,139900,137500,134900,129900,129900,129900,125250,126900,134900,139900,149700,149900,144900,139900,139900,139900,137000,134900,134900,134500,139900,143000,149000,149900,150000,149900,147900
"Grand Rapids, MI",52,118900,119900,119876,119900,114900,114900,114500,114900,128999.5,124900,119900,117900,114900,114900,115000,119000,124900,125900,125900,125900,125000,124900,119900,111900,114900,114900,119000,119900,119900,119900,119900,119900,119000,119900,129900,129000,129900,134900,134900,136850,139900,142900,144900,143900,139900,139700,135000,133450,134900,139000,139900,146900,149900,149900,149900,149900,149900,144900,139900,139900,139900,144900,149900,159500,159900,164900,164900,164900,164900,161500,159900,159900,159900,164900,175000,184900,189900,189900,189900,185000,189900,188900,185900,189900,194500,199949.5,204900,212625,214900,215000,219900,219000,217950
"Tucson, AZ",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,2e+05,199999.5,2e+05,204900,206950,209900,209900,209300,208000,209000,209570,205200,205000,209000,215000,215000,210000,215000,210403,205000,209000,209500,210000,209900,207500,209950,210000,215000,217569,219900,219900,219000,217995,219900,220000,224950,224900,225000,229500,229900,230000,234900,229900,229990,236900,235000
"Honolulu, HI",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,620000,629000,629000,625000,633000,639000,652600,668800,679000,675000,688500,699000,696500,689000,689000,698900,7e+05,725000,725000,739000,736500,729000,725000,720000,748000,759000,749000,727707,745000,768000,775000,788000,779000,785000,789000,795000,796500,725000,8e+05,817000,825000,825000,825000,829000,849000,846500,848500,858000,850000,849000,849000,855750,859000,862500,865000,867500,854000
